feature_type,held_out_cohort,n_train,n_test,n_test_ibd,n_test_control,auroc,auprc,best_C,best_l1_ratio
pathway,HMP_2019_ibdmdb,222,130,103,27,0.6184825602301329,0.8819440622753754,0.015590542353378796,0.05967789660956835
pathway,HallAB_2017,321,31,19,12,0.3289473684210526,0.5778189965240343,0.31815448956658987,0.35154594177669224
pathway,IjazUZ_2017,302,50,12,38,0.8004385964912282,0.7527554303485156,0.09059507021159752,0.015267474316235534
pathway,NielsenHB_2014,211,141,82,59,0.5779247622984705,0.6680565047734877,0.09055629947068952,0.018104362624012077
