"species","mean_rel_abund","overall_prevalence","n_cohorts_passing_threshold","passed_abundance_prevalence_filter","passed_majority_cohort_rule","kept_final"
"Anaerotruncus sp. CAG:528",0.139516232294618,0.0396600566572238,2,FALSE,FALSE,FALSE
"[Ruminococcus] torques",1.13282082152975,0.711048158640227,4,TRUE,TRUE,TRUE
"Bacteroides salyersiae",0.104250283286119,0.172804532577904,3,TRUE,TRUE,TRUE
"Parabacteroides johnsonii",0.0934003116147309,0.172804532577904,2,TRUE,FALSE,FALSE
"Sellimonas intestinalis",0.0359799433427762,0.15014164305949,4,TRUE,TRUE,TRUE
"Bacteroides faecis",0.423627932011331,0.286118980169972,4,TRUE,TRUE,TRUE
"Roseburia intestinalis",1.05754130311615,0.603399433427762,4,TRUE,TRUE,TRUE
"Collinsella aerofaciens",1.25710388101983,0.705382436260623,4,TRUE,TRUE,TRUE
"Bacteroides intestinalis",0.232080311614731,0.164305949008499,4,TRUE,TRUE,TRUE
"Bacteroides faecis CAG:32",0.207765920679887,0.1671388101983,3,TRUE,TRUE,TRUE
"[Ruminococcus] lactaris",0.29323447592068,0.371104815864023,4,TRUE,TRUE,TRUE
"Prevotella copri",5.89327073654391,0.368271954674221,4,TRUE,TRUE,TRUE
"Erysipelothrix larvae",0.000398895184135977,0.0056657223796034,0,FALSE,FALSE,FALSE
"Eisenbergiella tayi",0.0423771954674221,0.252124645892351,4,TRUE,TRUE,TRUE
"Klebsiella pneumoniae",0.282120226628895,0.0878186968838527,3,FALSE,TRUE,FALSE
"Proteus mirabilis",0.0171324645892351,0.0226628895184136,0,FALSE,FALSE,FALSE
"Intestinibacter bartlettii",0.120062152974504,0.430594900849858,4,TRUE,TRUE,TRUE
"Erysipelatoclostridium ramosum",0.0993941926345609,0.243626062322946,4,TRUE,TRUE,TRUE
"Bacteroides sp. 43_108",0.0255332294617564,0.0084985835694051,0,FALSE,FALSE,FALSE
"Blautia producta",0.0194691501416431,0.113314447592068,3,TRUE,TRUE,TRUE
"Barnesiella intestinihominis",0.689168923512748,0.526912181303116,4,TRUE,TRUE,TRUE
"Tyzzerella nexilis",0.00135342776203966,0.0651558073654391,3,FALSE,TRUE,FALSE
"Ruminococcus obeum CAG:39",0.0219084135977337,0.084985835694051,3,FALSE,TRUE,FALSE
"Blautia obeum",0.615483796033994,0.75070821529745,4,TRUE,TRUE,TRUE
"[Clostridium] scindens",0.00955354107648725,0.0793201133144476,3,FALSE,TRUE,FALSE
"Bacteroides finegoldii",0.290725807365439,0.254957507082153,3,TRUE,TRUE,TRUE
"Parasutterella excrementihominis",0.215501331444759,0.498583569405099,3,TRUE,TRUE,TRUE
"Phascolarctobacterium faecium",0.123855750708215,0.322946175637394,4,TRUE,TRUE,TRUE
"Lachnospira pectinoschiza",0.845767478753541,0.464589235127479,4,TRUE,TRUE,TRUE
"Clostridium sp. CAG:58",0.0932631444759207,0.501416430594901,4,TRUE,TRUE,TRUE
"Bilophila wadsworthia",0.0324434277620397,0.470254957507082,3,TRUE,TRUE,TRUE
"Turicimonas muris",0.0344459490084986,0.373937677053824,3,TRUE,TRUE,TRUE
"Proteobacteria bacterium CAG:139",0.216498441926346,0.41643059490085,4,TRUE,TRUE,TRUE
"Anaeromassilibacillus sp. An250",0.0168392067988669,0.320113314447592,4,TRUE,TRUE,TRUE
"Hungatella hathewayi",0.103866033994334,0.223796033994334,4,TRUE,TRUE,TRUE
"Alistipes finegoldii",0.526319376770538,0.620396600566572,4,TRUE,TRUE,TRUE
"Ruminococcus bromii",2.39937852691218,0.436260623229462,4,TRUE,TRUE,TRUE
"Odoribacter splanchnicus",0.434133059490085,0.620396600566572,4,TRUE,TRUE,TRUE
"Butyricimonas virosa",0.0484260056657224,0.402266288951841,3,TRUE,TRUE,TRUE
"Oscillibacter sp. CAG:241",0.0988796883852691,0.345609065155807,4,TRUE,TRUE,TRUE
"Alistipes indistinctus",0.026887223796034,0.288951841359773,4,TRUE,TRUE,TRUE
"Coprococcus comes",1.01622473087819,0.711048158640227,4,TRUE,TRUE,TRUE
"Blautia hydrogenotrophica",0.0540670821529745,0.229461756373938,4,TRUE,TRUE,TRUE
"Lachnoclostridium sp. An181",9.30878186968839e-05,0.0056657223796034,0,FALSE,FALSE,FALSE
"Gemmiger formicilis",0.112366827195467,0.558073654390935,4,TRUE,TRUE,TRUE
"Holdemania filiformis",0.0101070821529745,0.274787535410765,4,TRUE,TRUE,TRUE
"Firmicutes bacterium CAG:83",0.179654674220963,0.526912181303116,4,TRUE,TRUE,TRUE
"Dorea formicigenerans",0.618041331444759,0.747875354107649,4,TRUE,TRUE,TRUE
"Collinsella intestinalis",0.101145835694051,0.305949008498584,4,TRUE,TRUE,TRUE
"Candidatus Stoquefichus sp. KLE1796",0.00326413597733711,0.0339943342776204,2,FALSE,FALSE,FALSE
"Oscillibacter sp. 57_20",0.220403682719547,0.444759206798867,4,TRUE,TRUE,TRUE
"Gemmiger sp. An87",0.018555552407932,0.0141643059490085,0,FALSE,FALSE,FALSE
"Firmicutes bacterium CAG:94",0.0418195184135977,0.186968838526912,4,TRUE,TRUE,TRUE
"Lachnoclostridium sp. An138",0.0027742776203966,0.0736543909348442,2,FALSE,FALSE,FALSE
"Harryflintia acetispora",0.000751019830028329,0.056657223796034,2,FALSE,FALSE,FALSE
"Dielma fastidiosa",0.0137683002832861,0.223796033994334,3,TRUE,TRUE,TRUE
"Roseburia sp. CAG:471",0.0357200849858357,0.314447592067989,4,TRUE,TRUE,TRUE
"Streptococcus thermophilus",0.186628555240793,0.373937677053824,4,TRUE,TRUE,TRUE
"[Clostridium] innocuum",0.0937984702549575,0.342776203966006,4,TRUE,TRUE,TRUE
"Prevotella buccae",0.0510580169971671,0.0028328611898017,0,FALSE,FALSE,FALSE
"Haemophilus parainfluenzae",0.361863059490085,0.376770538243626,4,TRUE,TRUE,TRUE
"Veillonella dispar",0.0980948441926346,0.252124645892351,4,TRUE,TRUE,TRUE
"Dorea sp. CAG:317",0.104099603399433,0.13314447592068,4,TRUE,TRUE,TRUE
"Proteus vulgaris",0,0,0,FALSE,FALSE,FALSE
"Veillonella parvula",0.689000793201133,0.424929178470255,4,TRUE,TRUE,TRUE
"Veillonella infantium",0.0249063172804533,0.209631728045326,4,TRUE,TRUE,TRUE
"Proteus hauseri",0.000511529745042493,0.0084985835694051,0,FALSE,FALSE,FALSE
"[Clostridium] spiroforme",0.0308228895184136,0.291784702549575,4,TRUE,TRUE,TRUE
"Streptococcus salivarius",0.536900736543909,0.60056657223796,4,TRUE,TRUE,TRUE
"Enterocloster aldenensis",0.0152793484419263,0.104815864022663,3,TRUE,TRUE,TRUE
"Veillonella atypica",0.130116317280453,0.232294617563739,4,TRUE,TRUE,TRUE
"Blautia hansenii",0.033490821529745,0.104815864022663,2,TRUE,FALSE,FALSE
"Eubacterium sp. OM08-24",0.029995269121813,0.0793201133144476,3,FALSE,TRUE,FALSE
"Phocaeicola plebeius",1.20485662889518,0.220963172804533,2,TRUE,FALSE,FALSE
"Paraprevotella xylaniphila",0.155046628895184,0.277620396600567,3,TRUE,TRUE,TRUE
"Parabacteroides sp. CAG:409",0.031437790368272,0.0538243626062323,2,FALSE,FALSE,FALSE
"Bacteroides eggerthii",0.789074107648725,0.288951841359773,4,TRUE,TRUE,TRUE
"Alistipes shahii",0.0902972521246459,0.515580736543909,4,TRUE,TRUE,TRUE
"Butyricimonas synergistica",0.0349050141643059,0.339943342776204,3,TRUE,TRUE,TRUE
"Haemophilus sp. HMSC71H05",0.0139799433427762,0.158640226628895,4,TRUE,TRUE,TRUE
"Desulfovibrio piger",0.0191471388101983,0.113314447592068,3,TRUE,TRUE,TRUE
"Clostridium sp. CAG:242",0.0590474787535411,0.169971671388102,3,TRUE,TRUE,TRUE
"Eubacterium ramulus",0.157910481586402,0.560906515580737,4,TRUE,TRUE,TRUE
"Coprobacter fastidiosus",0.067868611898017,0.286118980169972,3,TRUE,TRUE,TRUE
"Pseudoflavonifractor sp. An184",0.0214003399433428,0.0538243626062323,3,FALSE,TRUE,FALSE
"Clostridiales bacterium CHKCI006",0.000167365439093484,0.0113314447592068,0,FALSE,FALSE,FALSE
"Pseudoflavonifractor sp. An85",3.11614730878187e-06,0.0028328611898017,0,FALSE,FALSE,FALSE
"Christensenella minuta",0.00208915014164306,0.084985835694051,3,FALSE,TRUE,FALSE
"Lactobacillus rogosae",0.0309435127478754,0.271954674220963,4,TRUE,TRUE,TRUE
"Bifidobacterium catenulatum",0.100537790368272,0.121813031161473,3,TRUE,TRUE,TRUE
"Phocaeicola massiliensis",0.446836628895184,0.359773371104816,3,TRUE,TRUE,TRUE
"Streptococcus parasanguinis",0.225774702549575,0.498583569405099,4,TRUE,TRUE,TRUE
"Slackia isoflavoniconvertens",0.0714614447592068,0.24929178470255,4,TRUE,TRUE,TRUE
"Alistipes inops",0.171506090651558,0.172804532577904,3,TRUE,TRUE,TRUE
"Haemophilus pittmaniae",0.000163626062322946,0.0141643059490085,0,FALSE,FALSE,FALSE
"Amedibacillus dolichus",0.0297473371104816,0.0594900849858357,1,FALSE,FALSE,FALSE
"Eubacterium dolichum CAG:375",0.0292494900849858,0.0651558073654391,1,FALSE,FALSE,FALSE
"Turicibacter sanguinis",0.0221931444759207,0.232294617563739,4,TRUE,TRUE,TRUE
"Lactobacillus delbrueckii",0.000682067988668555,0.0424929178470255,1,FALSE,FALSE,FALSE
"Ruminococcaceae bacterium D16",0.00629606232294618,0.18413597733711,3,FALSE,TRUE,FALSE
"Aeriscardovia aeriphila",0.000222464589235127,0.0651558073654391,2,FALSE,FALSE,FALSE
"Veillonella sp. T11011-6",0.00477269121813031,0.0991501416430595,3,FALSE,TRUE,FALSE
"Firmicutes bacterium CAG:145",0.0889707932011331,0.280453257790368,4,TRUE,TRUE,TRUE
