feature_type,held_out_cohort,n_train,n_test,n_test_ibd,n_test_control,auroc,auprc,best_C,best_l1_ratio
combined,HMP_2019_ibdmdb,222,130,103,27,0.7856886012225819,0.9159229310439136,0.05697464225943088,0.4558227378055183
combined,HallAB_2017,321,31,19,12,0.8026315789473685,0.8975972181096832,0.03906792934139106,0.19055460047076234
combined,IjazUZ_2017,302,50,12,38,0.9736842105263158,0.9244861619861621,0.015590542353378796,0.05967789660956835
combined,NielsenHB_2014,211,141,82,59,0.6907813145928069,0.7756142988114612,0.015590542353378796,0.05967789660956835
